rank,candidate_id,score,reason
1,CAND_0018499,96.33,Moderate alignment with Senior AI Engineer requirements. 7.2 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
2,CAND_0008239,95.52,Moderate alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
3,CAND_0062247,95.04,Moderate alignment with Senior AI Engineer requirements. 7.3 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
4,CAND_0039754,93.84,Limited alignment with Senior AI Engineer requirements. 16.2 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
5,CAND_0086022,93.63,Limited alignment with Senior AI Engineer requirements. 5.3 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
6,CAND_0041610,92.18,Limited alignment with Senior AI Engineer requirements. 6.7 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
7,CAND_0066999,91.9,Limited alignment with Senior AI Engineer requirements. 5.9 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
8,CAND_0099806,91.71,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
9,CAND_0010867,91.58,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
10,CAND_0024430,90.69,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
11,CAND_0050039,90.07,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
12,CAND_0037566,89.91,Limited alignment with Senior AI Engineer requirements. 6.9 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
13,CAND_0081846,89.75,Moderate alignment with Senior AI Engineer requirements. 6.7 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
14,CAND_0071640,89.73,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
15,CAND_0068932,89.17,Limited alignment with Senior AI Engineer requirements. 5.2 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
16,CAND_0052195,88.88,Limited alignment with Senior AI Engineer requirements. 6.3 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
17,CAND_0002025,88.23,Moderate alignment with Senior AI Engineer requirements. 5.9 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
18,CAND_0045146,88.04,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
19,CAND_0075826,87.77,Limited alignment with Senior AI Engineer requirements. 5.7 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
20,CAND_0065333,87.64,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
21,CAND_0070152,87.54,Limited alignment with Senior AI Engineer requirements. 8.6 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
22,CAND_0050553,87.41,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
23,CAND_0052328,86.49,Moderate alignment with Senior AI Engineer requirements. 6.5 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
24,CAND_0017093,86.34,Limited alignment with Senior AI Engineer requirements. 5.9 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
25,CAND_0018549,86.15,Moderate alignment with Senior AI Engineer requirements. 6.8 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
26,CAND_0020708,86.03,Moderate alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
27,CAND_0078492,85.91,Limited alignment with Senior AI Engineer requirements. 5.1 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
28,CAND_0009307,85.85,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
29,CAND_0012038,85.85,Limited alignment with Senior AI Engineer requirements. 6.5 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
30,CAND_0026942,85.84,Limited alignment with Senior AI Engineer requirements. 6.0 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
31,CAND_0040410,85.76,Limited alignment with Senior AI Engineer requirements. 8.6 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
32,CAND_0043676,85.74,Limited alignment with Senior AI Engineer requirements. 6.1 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
33,CAND_0014439,85.68,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
34,CAND_0043322,85.36,Limited alignment with Senior AI Engineer requirements. 8.9 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
35,CAND_0013440,85.19,Limited alignment with Senior AI Engineer requirements. 7.2 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
36,CAND_0053695,84.78,Limited alignment with Senior AI Engineer requirements. 5.8 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
37,CAND_0011925,84.75,Limited alignment with Senior AI Engineer requirements. 5.0 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
38,CAND_0063948,84.73,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
39,CAND_0055951,84.1,Limited alignment with Senior AI Engineer requirements. 7.2 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
40,CAND_0037980,83.85,Limited alignment with Senior AI Engineer requirements. 9.0 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
41,CAND_0058688,83.38,Limited alignment with Senior AI Engineer requirements. 6.7 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
42,CAND_0027691,83.32,Limited alignment with Senior AI Engineer requirements. 6.5 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
43,CAND_0061614,83.21,Limited alignment with Senior AI Engineer requirements. 8.2 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
